Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
ACCT200194,LEC,Survey of Accounting,NEWRK,4 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Wright,Diane Marie Lambert"
ACCT200195,LEC,Survey of Accounting,NEWRK,4 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Wright,Diane Marie Lambert"
ACCT207010,LEC,Accounting I,NEWRK,3 Hrs,MTWR,12:30PM - 2:45PM ,Jun 7 - Jul 9,"Velury,Uma"
ACCT208010,LEC,Accounting II,NEWRK,3 Hrs,MTWR,12:30PM - 2:45PM ,Jun 7 - Jul 9,"Barlow,Franklin"
ACCT612010,LEC,Financial Reporting III,NEWRK,2 Hrs,,Canceled,,
ACCT612196,LEC,Financial Reporting III,NEWRK,2 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"Jung PhD,Michael J."
ACCT800196,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"He,Jing"
ACCT800197,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,ASYN,7-week Session A 6/7-7/23,Jun 7 - Jul 23,"He,Jing"
ADMN562012,ADM,GRADUATE CONTRACT,NEWRK,0 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,"Martin,Mary J"
AFRA107010,LEC,History of Rock,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"England Baab,Sarah Jean"
AFRA205194,LEC,Contemporary African American Issues: CHALLENGES IN PUBLIC EDUCATION,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Washington,Lavern Clayton"
AFRA205195,LEC,Contemporary African American Issues: CHALLENGES IN PUBLIC EDUCATION,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Washington,Lavern Clayton"
AFRA215010,LEC,Race in Society,NEWRK,3 Hrs,,Canceled,,
AFRA221194,LEC,Race and Sports in American Society,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Brown,Andrew D."
AFRA221195,LEC,Race and Sports in American Society,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Brown,Andrew D."
AGED666000,IND,Special Problem,NEWRK,1-12 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ANFS102010,LEC,Food for Thought,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Kniel,Kalmia E"
ANFS261010,LEC,Pet Nutrition,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Griffiths,Lesa G"
ANFS350010,LEC,Animal Behavior,NEWRK,3 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Renzetti,Annie"
ANFS464000,IND,Animal and Food Science Experience,NEWRK,1-3 Hrs,TBD,10-Week Session 6/7-8/12,Jun 7 - Jul 9,Staff
ANFS464000,IND,Animal and Food Science Experience,NEWRK,1-3 Hrs,TBD,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,Staff
ANFS466900,IND,Independent Study,NEWRK,1-6 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ANFS466900,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,Staff
ANFS468000,RSC,Research,NEWRK,1-3 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ANFS468900,RSC,Research,NEWRK,1-3 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Wu,Changqing"
ANFS668010,RSC,Research,NEWRK,1-6 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Joerger,Rolf D"
ANFS868800,RSC,Research,NEWRK,1-9 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ANFS869000,IND,Master's Thesis,NEWRK,1-6 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ANFS969000,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,TBD,First Summer Session 6/7-7/9,Jun 7 - Jul 9,Staff
ANTH101192,LEC,Introduction to Social and Cultural Anthropology,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Neitzel,Jill E"
ANTH101193,LEC,Introduction to Social and Cultural Anthropology,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Neitzel,Jill E"
ANTH101194,LEC,Introduction to Social and Cultural Anthropology,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Neitzel,Jill E"
ANTH101195,LEC,Introduction to Social and Cultural Anthropology,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Neitzel,Jill E"
ANTH227710,LEC,American Culture,WILM,3 Hrs,MTWRF,11:30AM - 1:00PM ,Jun 7 - Jul 9,"de Kramer-Lynch,Kuinera Jennifer"
ANTH265710,LEC,High Civilizations of the Americas,WILM,3 Hrs,MTWRF,9:45AM - 11:15AM ,Jul 12 - Aug 12,"Peasnall,Brian Lee"
APEC366000,IND,Independent Study,NEWRK,1-6 Hrs,,Canceled,,
APEC868000,RSC,Research,NEWRK,1-9 Hrs,TBD,10-Week Session 6/7-8/12,Jun 7 - Aug 12,Staff
ARAB105010,LEC,Arabic I - Elementary,NEWRK,4 Hrs,,Canceled,,
ARSC480010,INT,Issues in Healthcare for Children and Families,NEWRK,3 Hrs,,Canceled,,
ARSC480910,INT,Issues in Healthcare for Children and Families,NEWRK,3 Hrs,,Canceled,,
ARSC482010,INT,Issues in Public Healthcare - Economics,NEWRK,3 Hrs,,Canceled,,
ARSC482910,INT,Issues in Public Healthcare - Economics,NEWRK,3 Hrs,,Canceled,,
ART180192,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART180193,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART180194,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART180195,LEC,Digital Photography for Non-Majors,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Cox,Jonathan Andrew"
ART408002,IND,Internship,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Deering,William"
