Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
ACCT200010,LEC,Survey of Accounting,NEWRK,4 Hrs,TR,3:30PM - 5:15PM,Aug 31 - Dec 10,"Kane,Gregory D"
ACCT207010,LEC,Accounting I,NEWRK,3 Hrs,MWF ,9:05AM - 9:55AM ,Aug 31 - Dec 10 ,"Etheridge,Paige Penelope"
ACCT207011,LEC,Accounting I,NEWRK,3 Hrs,MWF ,10:10AM - 11:00AM ,Aug 31 - Dec 10 ,"Etheridge,Paige Penelope"
ACCT207012,LEC,Accounting I,NEWRK,3 Hrs,MWF ,11:15AM - 12:05PM ,Aug 31 - Dec 10 ,"Etheridge,Paige Penelope"
ACCT207013,LEC,Accounting I,NEWRK,3 Hrs,TR ,11:00AM - 12:15PM ,Aug 31 - Dec 10 ,"McDougal,Karen"
ACCT207014,LEC,Accounting I,NEWRK,3 Hrs,TR ,8:00AM - 9:15AM ,Aug 31 - Dec 10 ,"McDougal,Karen"
ACCT207015,LEC,Accounting I,NEWRK,3 Hrs,MW ,3:35PM - 4:50PM ,Aug 31 - Dec 10 ,"Fico,Joan"
ACCT207016,LEC,Accounting I,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"McMartin,Andrew"
ACCT207017,LEC,Accounting I,NEWRK,3 Hrs,TR ,11:00AM - 12:15PM ,Aug 31 - Dec 10 ,"Tsakumis,George Theodore"
ACCT207018,LEC,Accounting I,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Tsakumis,George Theodore"
ACCT207019,LEC,Accounting I,NEWRK,3 Hrs,,Canceled,,
ACCT207050,LEC,Accounting I,NEWRK,3 Hrs,MW,5:00PM - 6:15PM,Aug 31 - Dec 10,"McMartin,Andrew"
ACCT207051,LEC,Accounting I,NEWRK,3 Hrs,MW,6:30PM - 7:45PM,Aug 31 - Dec 10,"McMartin,Andrew"
ACCT207052,LEC,Accounting I,NEWRK,3 Hrs,MW ,5:00PM - 6:15PM ,Aug 31 - Dec 10 ,"Fico,Joan"
ACCT207053,LEC,Accounting I,NEWRK,3 Hrs,MW,6:30PM - 7:45PM,Aug 31 - Dec 10,"Fico,Joan"
ACCT207054,LEC,Accounting I,NEWRK,3 Hrs,,Canceled,,
ACCT207070,LEC,Accounting I,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Bell,James"
ACCT207080,LEC,Accounting I,NEWRK,3 Hrs,TR ,2:00PM - 3:15PM ,Aug 31 - Dec 10 ,"McDougal,Karen"
ACCT208011,LEC,Accounting II,NEWRK,3 Hrs,MWF,9:05AM - 9:55AM,Aug 31 - Dec 10,"Dragone,Debra Sue Gassner"
ACCT208012,LEC,Accounting II,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Aug 31 - Dec 10,"Dragone,Debra Sue Gassner"
ACCT208013,LEC,Accounting II,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Aug 31 - Dec 10,"Dragone,Debra Sue Gassner"
ACCT208014,LEC,Accounting II,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Jones,Scott K"
ACCT208015,LEC,Accounting II,NEWRK,3 Hrs,MWF ,11:15AM - 12:05PM ,Aug 31 - Dec 10 ,"Tucker,James Joseph"
ACCT208016,LEC,Accounting II,NEWRK,3 Hrs,MWF ,12:20PM - 1:10PM ,Aug 31 - Dec 10 ,"Tucker,James Joseph"
ACCT208070,LEC,Accounting II,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Bell,James"
ACCT267010,LEC,SEMINAR,NEWRK,1 Hrs,R,5:00PM - 8:00PM,Aug 31 - Dec 10,"Gillespie,Jackson F"
ACCT302011,LEC,Accounting Information Systems,NEWRK,3 Hrs,TR,8:00AM - 9:15AM,Aug 31 - Dec 10,"Geerts,Guido L"
ACCT302012,LEC,Accounting Information Systems,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Geerts,Guido L"
ACCT302082,LEC,Accounting Information Systems,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Geerts,Guido L"
ACCT313050,LEC,Taxation for Business and Investment Planning,NEWRK,3 Hrs,M,6:00PM - 9:00PM,Aug 31 - Dec 10,"Necelis,Adam"
ACCT315010,LEC,Intermediate Accounting I,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Convery,Amanda Marie"
ACCT316010,LEC,Intermediate Accounting II,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Jenkins,David Shawn"
ACCT316011,LEC,Intermediate Accounting II,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Jenkins,David Shawn"
ACCT327010,LEC,Cost Accounting,NEWRK,3 Hrs,MWF,1:25PM - 2:15PM,Aug 31 - Dec 10,"Dragone,Debra Sue Gassner"
ACCT350010,LEC,Business Law I,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Aug 31 - Dec 10,"Coffin,Roger G"
ACCT351010,LEC,Business Law II,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Aug 31 - Dec 10,"Coffin,Roger G"
ACCT352010,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,MWF,9:05AM - 9:55AM,Aug 31 - Dec 10,"Alexander JD,Virgil E"
ACCT352011,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Aug 31 - Dec 10,"Alexander JD,Virgil E"
ACCT352012,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Aug 31 - Dec 10,"Alexander JD,Virgil E"
ACCT352013,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Aug 31 - Dec 10,"Alexander JD,Virgil E"
ACCT352014,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"Moffa Jr,Louis Robert"
ACCT352053,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,W,6:00PM - 9:00PM,Aug 31 - Dec 10,"Pratt,Jillian Marie"
ACCT352070,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Bell,James"
ACCT352071,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,TBD,,Aug 31 - Dec 10,"Bell,James"
ACCT364000,IND,Accounting in Practice,NEWRK,3 Hrs,ASYN,,Aug 31 - Dec 10,Staff
ACCT366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
ACCT413010,LEC,Income Tax Accounting,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Aug 31 - Dec 10,"Etheridge,Paige Penelope"
ACCT414010,LEC,Advanced Federal Taxation,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"Greenstein,Brian Richard"
ACCT415010,LEC,Advanced Accounting,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Velury,Uma"
ACCT415010,LEC,Advanced Accounting,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Velury,Uma"
ACCT415011,LEC,Advanced Accounting,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Velury,Uma"
ACCT417010,LEC,Auditing,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Vermeer,Thomas Edward"
ACCT417011,LEC,Auditing,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Vermeer,Thomas Edward"
ACCT425010,LEC,Strategic Information Systems and Accounting,NEWRK,3 Hrs,MW,8:40AM - 9:55AM,Aug 31 - Dec 10,"Rodalunas,Ryan Tyler"
ACCT425080,LEC,Strategic Information Systems and Accounting,NEWRK,3 Hrs,MW,8:40AM - 9:55AM,Aug 31 - Dec 10,"Rodalunas,Ryan Tyler"
ACCT450010,LEC,Legal Issues of Trust and Fiduciary Entities,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"McCloskey Esq,Jennifer Zelvin"
ACCT466001,IND,Independent Study,NEWRK,1-6 Hrs,TBD,,Aug 31 - Dec 10,"Dragone,Debra Sue Gassner"
ACCT600050,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,W,6:00PM - 9:00PM,Aug 31 - Dec 10,"McDougal,Karen"
ACCT600196,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,ASYN,,Aug 31 - Oct 15,"Jung PhD,Michael J."
ACCT600197,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,ASYN,,Aug 31 - Oct 15,"Jung PhD,Michael J."
ACCT600198,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,ASYN,,Oct 18 - Dec 10,"Jung PhD,Michael J."
ACCT600199,LEC,Financial Reporting and Analysis,NEWRK,3 Hrs,ASYN,,Oct 18 - Dec 10,"Jung PhD,Michael J."
ACCT604050,LEC,Database Design and Implementation,NEWRK,3 Hrs,R,6:00PM - 9:00PM,Aug 31 - Dec 10,"Cao,Jinwei"
ACCT604196,LEC,Database Design and Implementation,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Oct 15,"Cao,Jinwei"
ACCT604197,LEC,Database Design and Implementation,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Oct 15,"Cao,Jinwei"
ACCT606050,LEC,"Object-oriented Systems Analysis, Design and Implementation",NEWRK,3 Hrs,M,6:00PM - 9:00PM,Aug 31 - Dec 10,"Laskowski,Jason Daniel"
ACCT610196,LEC,Financial Reporting I,NEWRK,2 Hrs,ASYN,,Aug 31 - Oct 15,"Convery,Amanda Marie"
ACCT610620,LEC,Financial Reporting I,NEWRK,2 Hrs,,Canceled,,
ACCT611198,LEC,Financial Reporting II,NEWRK,2 Hrs,ASYN,,Oct 18 - Dec 10,"Convery,Amanda Marie"
ACCT611660,LEC,Financial Reporting II,NEWRK,2 Hrs,,Canceled,,
ACCT613010,LEC,Federal Taxation of Income and Property Transactions,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Aug 31 - Dec 10,"Etheridge,Paige Penelope"
ACCT613196,LEC,Federal Taxation of Income and Property Transactions,NEWRK,3 Hrs,ASYN,,Aug 31 - Oct 15,"Greenstein,Brian Richard"
ACCT614010,LEC,Advanced Federal Taxation,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Aug 31 - Dec 10,"Greenstein,Brian Richard"
ACCT615010,LEC,Advanced Financial Reporting,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Aug 31 - Dec 10,"Velury,Uma"
ACCT615011,LEC,Advanced Financial Reporting,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Velury,Uma"
ACCT617010,LEC,"Auditing, Ethics, and Professional Responsibility",NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Aug 31 - Dec 10,"Vermeer,Thomas Edward"
ACCT617011,LEC,"Auditing, Ethics, and Professional Responsibility",NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Vermeer,Thomas Edward"
ACCT617198,LEC,"Auditing, Ethics, and Professional Responsibility",NEWRK,3 Hrs,ASYN,,Oct 18 - Dec 10,"Joe,Jennifer R"
ACCT625050,LEC,Financial Statement Analysis,NEWRK,3 Hrs,T,6:00PM - 9:00PM,Aug 31 - Dec 10,"Kane,Gregory D"
