Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
ACCT200194,LEC,Survey of Accounting,NEWRK,4 Hrs,ASYN,,Jan 3 - Feb 4,"Wright,Diane Marie Lambert"
ACCT200195,LEC,Survey of Accounting,NEWRK,4 Hrs,ASYN,,Jan 3 - Feb 4,"Wright,Diane Marie Lambert"
ACCT207010,LEC,Accounting I,NEWRK,3 Hrs,MTWR,8:00AM - 10:00AM,Jan 3 - Feb 4,"Etheridge,Paige Penelope"
ACCT207011,LEC,Accounting I,NEWRK,3 Hrs,,Canceled,,
ACCT207012,LEC,Accounting I,NEWRK,3 Hrs,,Canceled,,
ACCT207061,LEC,Accounting I,NEWRK,3 Hrs,,Canceled,,
ACCT208010,LEC,Accounting II,NEWRK,3 Hrs,MTWR,10:00AM - 12:00PM,Jan 3 - Feb 4,"Dragone,Debra Sue Gassner"
ACCT208011,LEC,Accounting II,NEWRK,3 Hrs,MTWR,12:15PM - 2:15PM,Jan 3 - Feb 4,"Dragone,Debra Sue Gassner"
ACCT315010,LEC,Intermediate Accounting I,NEWRK,3 Hrs,,Canceled,,
ACCT352050,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,,Canceled,,
ACCT352061,LEC,Law and Social Issues in Business,NEWRK,3 Hrs,,Canceled,,
ACCT363000,IND,Service Learning and Earned Income Tax Credit,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
ACCT425010,LEC,Strategic Information Systems and Accounting,NEWRK,3 Hrs,F,8:00AM - 11:45AM,Jan 3 - Feb 4,"Rodalunas,Ryan Tyler"
ACCT467061,LEC,SEMINAR: ROLE OF RACE IN BUSINESS,NEWRK,3 Hrs,MTWR,12:45PM - 3:30PM,Jan 11 - Feb 4,"Joe,Jennifer R"
ACCT612196,LEC,Financial Reporting III,NEWRK,2 Hrs,ASYN,,Jan 3 - Feb 4,"Jung PhD,Michael J."
ACCT667061,LEC,SEMINAR: ROLE OF RACE IN BUSINESS,NEWRK,3 Hrs,MTWR,12:45PM - 3:30PM,Jan 11 - Feb 4,"Joe,Jennifer R"
ADMN562011,ADM,GRADUATE CONTRACT,NEWRK,0 Hrs,TBD,,-,Staff
AFRA107010,LEC,History of Rock,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"England Baab,Sarah Jean"
AFRA223070,LEC,"Sports, Media, and Culture",NEWRK,3 Hrs,,Canceled,,
